No,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,Time
145,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.0,-88.0,2021-05-28T22:43:43
146,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.8,-88.0,2021-05-28T22:43:45
147,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.8,-88.0,2021-05-28T22:43:46
148,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.8,-88.0,2021-05-28T22:43:47
149,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:43:48
150,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:43:49
151,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:43:51
152,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:43:52
153,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,11.0,-88.0,2021-05-28T22:43:53
154,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,11.0,-88.0,2021-05-28T22:43:54
155,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,11.0,-88.0,2021-05-28T22:43:56
156,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,11.6,-88.0,2021-05-28T22:43:57
157,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,11.6,-88.0,2021-05-28T22:43:58
158,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:43:59
159,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:44:00
160,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:44:02
161,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.8,-88.0,2021-05-28T22:44:03
162,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.8,-88.0,2021-05-28T22:44:04
163,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.4,-88.0,2021-05-28T22:44:05
